ReservoirName,DamType,FacilityAim,DamHeight,CrestLevel,CrestLength,ImpoundmentVolume,ImpoundmentLevel,StorageLevel,Construction,StartSuperVision,DamName,ReservoirName_1,DamType_1,FacilityAim_1,DamHeight_1,CrestLevel_1,CrestLength_1,ImpoundmentVolume_1,ImpoundmentLevel_1,StorageLevel_1,Construction_1,StartSuperVision_1,OBJECTID,DamName_1
Aarberg,dt1,fa2,15.000000000000000,452.500000000000000,70.000000000000000,1.530000000000000,451.000000000000000,8.480000000000000,1963,1/1/2015,Aarberg,Aarberg,dt1,fa2,15.000000000000000,452.500000000000000,70.000000000000000,1.530000000000000,451.000000000000000,8.480000000000000,1963,1/1/2015,1,Aarberg
Airolo,dt5,fa2,17.000000000000000,1137.160000000000082,83.000000000000000,0.370000000000000,1135.000000000000000,13.770000000000000,1968,1/1/1968,Airolo,Airolo,dt5,fa2,17.000000000000000,1137.160000000000082,83.000000000000000,0.370000000000000,1135.000000000000000,13.770000000000000,1968,1/1/1968,2,Airolo
Albbruck-Dogern,dt1,fa2,15.000000000000000,312.240000000000009,145.000000000000000,10.000000000000000,311.240000000000009,12.500000000000000,1933,1/1/2013,Albbruck-Dogern,Albbruck-Dogern,dt1,fa2,15.000000000000000,312.240000000000009,145.000000000000000,10.000000000000000,311.240000000000009,12.500000000000000,1933,1/1/2013,3,Albbruck-Dogern
Albigna,dt5,fa2,115.000000000000000,2165.000000000000000,759.000000000000000,69.000000000000000,2161.000000000000000,109.000000000000000,1959,1/1/1959,Albigna,Albigna,dt5,fa2,115.000000000000000,2165.000000000000000,759.000000000000000,69.000000000000000,2161.000000000000000,109.000000000000000,1959,1/1/1959,4,Albigna
Alp Dado,dt7,fa7,24.000000000000000,2060.000000000000000,210.000000000000000,0.060000000000000,2059.000000000000000,10.750000000000000,1995,8/30/1994,Alp Dado,Alp Dado,dt7,fa7,24.000000000000000,2060.000000000000000,210.000000000000000,0.060000000000000,2059.000000000000000,10.750000000000000,1995,8/30/1994,5,Alp Dado
Le Pontet,dt5,fa2,16.000000000000000,778.000000000000000,26.600000000000001,0.070000000000000,792.000000000000000,17.000000000000000,1937,1/1/1970,Ancien Jougnenaz,Le Pontet,dt5,fa2,16.000000000000000,778.000000000000000,26.600000000000001,0.070000000000000,792.000000000000000,17.000000000000000,1937,1/1/1970,6,Ancien Jougnenaz
Arnensee,dt7,fa2,17.000000000000000,1545.000000000000000,140.000000000000000,4.800000000000000,1542.500000000000000,11.500000000000000,1942,1/1/1954,Arnensee (Arnon),Arnensee,dt7,fa2,17.000000000000000,1545.000000000000000,140.000000000000000,4.800000000000000,1542.500000000000000,11.500000000000000,1942,1/1/1954,7,Arnensee (Arnon)
Arniboden,dt7,fa2,2.000000000000000,1370.869999999999891,60.000000000000000,0.240000000000000,1369.700000000000045,10.500000000000000,1910,1/1/1954,Arniboden Nord,Arniboden,dt7,fa2,2.000000000000000,1370.869999999999891,60.000000000000000,0.240000000000000,1369.700000000000045,10.500000000000000,1910,1/1/1954,8,Arniboden Nord
Arniboden,dt7,fa2,12.000000000000000,1370.769999999999982,67.000000000000000,0.240000000000000,1369.700000000000045,10.500000000000000,1910,1/1/1954,Arniboden Ost,Arniboden,dt7,fa2,2.000000000000000,1370.869999999999891,60.000000000000000,0.240000000000000,1369.700000000000045,10.500000000000000,1910,1/1/1954,8,Arniboden Nord
Arniboden,dt7,fa2,15.000000000000000,1370.769999999999982,74.000000000000000,0.240000000000000,1369.700000000000045,10.500000000000000,1910,1/1/1954,Arniboden Süd,Arniboden,dt7,fa2,2.000000000000000,1370.869999999999891,60.000000000000000,0.240000000000000,1369.700000000000045,10.500000000000000,1910,1/1/1954,8,Arniboden Nord
Arniboden,dt7,fa2,4.000000000000000,1370.710000000000036,80.000000000000000,0.240000000000000,1369.700000000000045,10.500000000000000,1910,1/1/1954,Arniboden West,Arniboden,dt7,fa2,2.000000000000000,1370.869999999999891,60.000000000000000,0.240000000000000,1369.700000000000045,10.500000000000000,1910,1/1/1954,8,Arniboden Nord
Augst-Wyhlen,dt1,fa2,22.000000000000000,272.139999999999986,212.800000000000011,6.300000000000000,261.000000000000000,6.600000000000000,1912,1/1/2013,Augst-Wyhlen,Augst-Wyhlen,dt1,fa2,22.000000000000000,272.139999999999986,212.800000000000011,6.300000000000000,261.000000000000000,6.600000000000000,1912,1/1/2013,12,Augst-Wyhlen
Bannalp,dt7,fa2,32.000000000000000,1589.099999999999909,185.000000000000000,1.700000000000000,1586.799999999999955,34.299999999999997,1937,1/1/1954,Bannalp,Bannalp,dt7,fa2,32.000000000000000,1589.099999999999909,185.000000000000000,1.700000000000000,1586.799999999999955,34.299999999999997,1937,1/1/1954,13,Bannalp
Bannwil,dt1,fa2,15.000000000000000,419.300000000000011,80.000000000000000,4.430000000000000,417.300000000000011,8.130000000000001,1970,1/1/2015,Bannwil,Bannwil,dt1,fa2,15.000000000000000,419.300000000000011,80.000000000000000,4.430000000000000,417.300000000000011,8.130000000000001,1970,1/1/2015,14,Bannwil
Barcuns,dt5,fa2,36.799999999999997,1368.000000000000000,153.000000000000000,0.220000000000000,1365.000000000000000,27.000000000000000,1947,1/1/1954,Barcuns,Barcuns,dt5,fa2,36.799999999999997,1368.000000000000000,153.000000000000000,0.220000000000000,1365.000000000000000,27.000000000000000,1947,1/1/1954,15,Barcuns
