ReservoirName,DamType,FacilityAim,DamHeight,CrestLevel,CrestLength,ImpoundmentVolume,ImpoundmentLevel,StorageLevel,Construction,StartSuperVision,DamName,easting_m,northing_m
Aarberg,dt1,fa2,15.000000000000000,452.500000000000000,70.000000000000000,1.530000000000000,451.000000000000000,8.480000000000000,1963,1/1/2015,Aarberg,2587362.131000000983477,1209652.324999999254942
Airolo,dt5,fa2,17.000000000000000,1137.160000000000082,83.000000000000000,0.370000000000000,1135.000000000000000,13.770000000000000,1968,1/1/1968,Airolo,2689680.296000000089407,1153439.620999999344349
Albbruck-Dogern,dt1,fa2,15.000000000000000,312.240000000000009,145.000000000000000,10.000000000000000,311.240000000000009,12.500000000000000,1933,1/1/2013,Albbruck-Dogern,2652200.949000000953674,1270800.274000000208616
Albigna,dt5,fa2,115.000000000000000,2165.000000000000000,759.000000000000000,69.000000000000000,2161.000000000000000,109.000000000000000,1959,1/1/1959,Albigna,2769991.056000001728535,1134169.379999998956919
Alp Dado,dt7,fa7,24.000000000000000,2060.000000000000000,210.000000000000000,0.060000000000000,2059.000000000000000,10.750000000000000,1995,8/30/1994,Alp Dado,2735450.692999999970198,1188024.664000000804663
Le Pontet,dt5,fa2,16.000000000000000,778.000000000000000,26.600000000000001,0.070000000000000,792.000000000000000,17.000000000000000,1937,1/1/1970,Ancien Jougnenaz,2520179.647999998182058,1175400.695000000298023
Arnensee,dt7,fa2,17.000000000000000,1545.000000000000000,140.000000000000000,4.800000000000000,1542.500000000000000,11.500000000000000,1942,1/1/1954,Arnensee (Arnon),2583199.526999998837709,1138220.304000001400709
Arniboden,dt7,fa2,2.000000000000000,1370.869999999999891,60.000000000000000,0.240000000000000,1369.700000000000045,10.500000000000000,1910,1/1/1954,Arniboden Nord,2691980.513000000268221,1180949.574999999254942
Arniboden,dt7,fa2,12.000000000000000,1370.769999999999982,67.000000000000000,0.240000000000000,1369.700000000000045,10.500000000000000,1910,1/1/1954,Arniboden Ost,2692150.510000001639128,1180839.574000000953674
Arniboden,dt7,fa2,15.000000000000000,1370.769999999999982,74.000000000000000,0.240000000000000,1369.700000000000045,10.500000000000000,1910,1/1/1954,Arniboden Süd,2691960.506000000983477,1180619.576999999582767
Arniboden,dt7,fa2,4.000000000000000,1370.710000000000036,80.000000000000000,0.240000000000000,1369.700000000000045,10.500000000000000,1910,1/1/1954,Arniboden West,2691890.508999999612570,1180759.576999999582767
Augst-Wyhlen,dt1,fa2,22.000000000000000,272.139999999999986,212.800000000000011,6.300000000000000,261.000000000000000,6.600000000000000,1912,1/1/2013,Augst-Wyhlen,2620251.629999998956919,1265223.499000001698732
Bannalp,dt7,fa2,32.000000000000000,1589.099999999999909,185.000000000000000,1.700000000000000,1586.799999999999955,34.299999999999997,1937,1/1/1954,Bannalp,2675250.690999999642372,1191399.743999999016523
Bannwil,dt1,fa2,15.000000000000000,419.300000000000011,80.000000000000000,4.430000000000000,417.300000000000011,8.130000000000001,1970,1/1/2015,Bannwil,2622244.456999998539686,1230969.234999999403954
Barcuns,dt5,fa2,36.799999999999997,1368.000000000000000,153.000000000000000,0.220000000000000,1365.000000000000000,27.000000000000000,1947,1/1/1954,Barcuns,2711470.460000000894070,1177439.651999998837709
Bärenburg,dt5,fa2,64.000000000000000,1083.700000000000045,110.000000000000000,1.400000000000000,1080.000000000000000,60.000000000000000,1960,1/1/1960,Bärenburg,2751940.760000001639128,1161789.497999999672174
Bettmersee,dt7,fa5,9.150000000000000,2010.799999999999955,135.000000000000000,0.560000000000000,2009.039999999999964,7.400000000000000,1949,1/1/1954,Bettmersee,2647939.813999999314547,1138129.660999998450279
Beznau,dt1,fa2,10.000000000000000,326.500000000000000,116.500000000000000,1.550000000000000,325.250000000000000,5.480000000000000,1986,1/1/2015,Beznau,2660103.008999999612570,1267770.135000001639128
Birsfelden,dt1,fa2,15.000000000000000,255.000000000000000,157.000000000000000,9.949999999999999,254.250000000000000,9.600000000000000,1954,1/1/2013,Birsfelden,2614100.574999999254942,1267800.607000000774860
Bortelsee,dt3,fa2,20.000000000000000,2465.500000000000000,310.000000000000000,1.660000000000000,2463.469999999999800,13.470000000000001,1989,8/21/1989,Bortelsee,2651349.750999998301268,1126549.567000001668930
Bremgarten-Zufikon,dt1,fa2,19.000000000000000,381.300000000000011,135.000000000000000,2.200000000000000,380.000000000000000,14.000000000000000,1975,1/1/1975,Bremgarten-Zufikon,2668560.857000000774860,1244019.901000000536442
Brigels,dt7,fa2,19.000000000000000,1258.200000000000045,120.000000000000000,0.300000000000000,1255.000000000000000,15.000000000000000,1960,1/1/1960,Brigels,2724910.675999999046326,1181429.567000001668930
Buchholz,dt5,fa2,16.000000000000000,613.850000000000023,43.000000000000000,0.040000000000000,612.100000000000023,16.000000000000000,1892,1/1/1954,Buchholz,2734410.704999998211861,1251649.708999998867512
Burvagn,dt5,fa2,20.149999999999999,1119.150000000000091,71.000000000000000,0.240000000000000,1117.000000000000000,12.000000000000000,1949,1/1/1954,Burvagn,2764340.879999998956919,1165779.629999998956919
Carassina,dt8,fa2,38.600000000000001,1708.599999999999909,115.000000000000000,0.280000000000000,1707.299999999999955,33.299999999999997,1963,1/1/1963,Carassina,2717230.614999998360872,1156169.557999998331070
Carmena,dt8,fa2,39.000000000000000,639.000000000000000,99.000000000000000,0.300000000000000,636.500000000000000,36.500000000000000,1968,1/1/1969,Carmena,2725780.493000000715256,1114129.078999999910593
Cavagnoli,dt8,fa2,111.000000000000000,2311.000000000000000,317.000000000000000,29.109999999999999,2310.000000000000000,110.000000000000000,1968,1/1/1968,Cavagnoli,2682120.245000001043081,1145299.521999999880791
Chancy-Pougny ,dt1,fa2,18.000000000000000,348.500000000000000,78.000000000000000,4.000000000000000,347.000000000000000,9.859999999999999,1924,1/1/1954,Chancy-Pougny,2487028.219999998807907,1113185.120999999344349
Chapfensee,dt5,fa2,20.000000000000000,1031.500000000000000,124.000000000000000,0.470000000000000,1030.000000000000000,17.000000000000000,1948,1/1/1954,Chapfensee Nord,2747710.682000000029802,1212629.723999999463558
Chapfensee,dt5,fa2,12.000000000000000,1031.500000000000000,141.000000000000000,0.470000000000000,1030.000000000000000,17.000000000000000,1948,1/1/1954,Chapfensee Ost,2748020.675999999046326,1212459.728000000119209
Châtelard CFF,dt7,fa2,33.000000000000000,1117.500000000000000,125.000000000000000,0.250000000000000,1116.500000000000000,26.000000000000000,1975,1/1/1975,Châtelard CFF,2562949.170000001788139,1101300.350999999791384
Châtelard ESA,dt5,fa2,11.000000000000000,1123.000000000000000,230.000000000000000,0.103000000000000,1122.000000000000000,10.420000000000000,1972,1/1/1972,Châtelard ESA,2562189.206000000238419,1100220.420000001788139
Châtelot,dt8,fa2,74.000000000000000,719.000000000000000,150.000000000000000,18.800000000000001,716.000000000000000,74.000000000000000,1953,1/1/1954,Châtelot,2547329.681000001728535,1216900.638999998569489
Cleuson,dt5,fa2,87.000000000000000,2187.000000000000000,420.000000000000000,20.000000000000000,2186.500000000000000,86.500000000000000,1950,1/1/1954,Cleuson,2590949.364999998360872,1106760.015999998897314
Contra,dt8,fa2,220.000000000000000,473.449999999999989,380.000000000000000,105.000000000000000,470.000000000000000,210.000000000000000,1965,7/10/1972,Contra,2708850.212999999523163,1117109.192000001668930
Corina,dt7,fa2,11.000000000000000,1191.700000000000045,450.000000000000000,0.120000000000000,1190.000000000000000,6.900000000000000,1959,1/1/1959,Corina,2736060.721000000834465,1143479.480000000447035
Sufers,dt7,fa2,10.000000000000000,1404.000000000000000,244.000000000000000,21.399999999999999,1401.000000000000000,58.000000000000000,1962,1/1/1962,Crestawalddamm (Sufers),2748820.749000001698732,1159279.574999999254942
Croix,dt7,fa2,15.000000000000000,919.500000000000000,100.000000000000000,0.100000000000000,918.000000000000000,13.000000000000000,1955,1/1/1955,Croix,2599814.524999998509884,1127990.028000000864267
Curnera,dt8,fa2,153.000000000000000,1957.700000000000045,350.000000000000000,41.100000000000001,1956.000000000000000,141.000000000000000,1966,1/1/1966,Curnera,2697570.403000000864267,1165689.627000000327826
Darbola,dt5,fa2,23.199999999999999,1153.700000000000045,146.900000000000006,0.110000000000000,1152.000000000000000,17.399999999999999,1958,1/1/1958,Darbola,2737820.660000000149012,1131539.212000001221895
Drachtenloch,dt7,fa1,14.699999999999999,475.699999999999989,77.000000000000000,0.120000000000000,473.199999999999989,10.500000000000000,2005,1/1/2005,Drachtenloch,2661710.815999999642372,1243189.997000001370907
Eggen,dt7,fa2,10.000000000000000,1597.500000000000000,250.000000000000000,0.050000000000000,1596.500000000000000,9.000000000000000,1958,1/1/1958,Eggen,2646639.602000001817942,1117359.640000000596046
Eglisau,dt1,fa2,20.000000000000000,343.990000000000009,114.000000000000000,7.000000000000000,343.480000000000018,12.740000000000000,1920,1/1/2013,Eglisau,2677801.096000000834465,1269899.964000001549721
Egschi,dt5,fa2,45.000000000000000,1152.200000000000045,80.000000000000000,0.550000000000000,1151.000000000000000,22.000000000000000,1949,1/1/1954,Egschi,2745370.760999999940395,1177529.603999998420477
Emosson,dt8,fa2,180.000000000000000,1931.500000000000000,554.000000000000000,227.000000000000000,1930.000000000000000,178.500000000000000,1974,1/1/1974,Emosson,2560799.260999999940395,1101900.386999998241663
Engeweiher,dt7,fa2,7.000000000000000,545.750000000000000,580.000000000000000,0.082000000000000,544.950000000000045,2.510000000000000,1909,1/1/1954,Engeweiher,2687731.151999998837709,1284129.679000001400709
Fah,dt5,fa2,13.000000000000000,1761.000000000000000,50.000000000000000,0.041000000000000,1759.000000000000000,10.500000000000000,1981,1/1/1981,Fah,2650809.515000000596046,1108839.465999998152256
Ferden,dt8,fa2,67.000000000000000,1314.000000000000000,126.099999999999994,1.890000000000000,1311.000000000000000,67.000000000000000,1975,1/1/1975,Ferden,2624459.763000000268221,1137109.879999998956919
Ferpècle,dt8,fa2,28.399999999999999,1895.799999999999955,91.000000000000000,0.110000000000000,1894.500000000000000,27.100000000000001,1963,1/1/1964,Ferpècle,2608619.329999998211861,1100749.732000000774860
Fionnay FMM,dt7,fa2,13.000000000000000,1493.500000000000000,250.000000000000000,0.158000000000000,1492.500000000000000,13.000000000000000,1956,1/1/1956,Fionnay FMM,2589999.355999998748302,1098000.030000001192093
Fionnay GD,dt7,fa2,22.879999999999999,1486.880000000000109,40.000000000000000,0.210000000000000,1486.000000000000000,22.000000000000000,1957,1/1/1957,Fionnay GD,2589469.350999999791384,1098110.032000001519918
Flumenthal,dt1,fa2,18.000000000000000,427.350000000000023,47.000000000000000,4.000000000000000,426.000000000000000,9.000000000000000,1970,1/1/1954,Flumenthal,2611458.377000000327826,1230923.328000001609325
Formigario,dt8,fa1,34.200000000000003,1064.690000000000055,28.180000000000000,0.035000000000000,1064.690000000000055,34.200000000000003,1870,8/16/2006,Formigario B18,2704610.313000001013279,1149609.618999999016523
Fully,dt6,fa2,11.050000000000001,2135.710000000000036,109.599999999999994,2.080000000000000,2128.579999999999927,12.000000000000000,1914,1/1/1954,Fully,2573439.412999998778105,1113820.366999998688698
Garichte,dt5,fa2,42.000000000000000,1624.750000000000000,230.000000000000000,3.290000000000000,1623.349999999999909,30.850000000000001,1931,1/1/1954,Garichte Hauptmauer,2726220.616999998688698,1202049.712999999523163
Garichte,dt5,fa2,18.000000000000000,1624.750000000000000,254.000000000000000,3.290000000000000,1623.349999999999909,30.850000000000001,1931,1/1/1954,Garichte Nebenmauer,2726550.613000001758337,1201939.719000000506639
Gebidem,dt8,fa2,122.000000000000000,1439.000000000000000,327.000000000000000,9.199999999999999,1436.500000000000000,122.000000000000000,1967,1/1/1967,Gebidem,2643389.818999998271465,1135689.732000000774860
